model,feature,label,r2,mae,pearson,dyn
smooth,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.07572680340018989,0.7264075298248277,0.31069364899359403,0.40880075875847993
smooth,blink_rate_per_min,眨眼频率,0.21157306499114192,7.442907673277453,0.4695829781058105,0.5555988391291452
direct_fade,hr_mean,心率均值,0.8514941576380248,2.7841796114751998,0.9236143204752033,0.9514218533211806
direct_fade,hr_std,心率波动,0.13831736782483883,0.8602522269153953,0.386959625202867,0.49380452448051226
direct_fade,eye_pupil_filtered_mean,瞳孔直径,0.8182201636878158,0.0792372639740438,0.9100819041688782,0.8728715857063791
direct_fade,eye_aoi_coverage_ratio,AOI覆盖,0.08281607613074948,0.06722135436214897,0.32480656201514324,0.39836032716410147
direct_fade,log_action_density_win,操作密度,-0.08918926249037828,0.08323857005200987,0.10187337675035808,0.4163740777004842
direct_fade,log_action_count_win,操作次数,-0.07886934974020487,2.493738604969319,0.11629848175925017,0.41967955329840506
direct_fade,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.126212282860788,0.6851658684158365,0.41626597978609536,0.5437296779196027
direct_fade,blink_rate_per_min,眨眼频率,0.31339559888755397,6.243652626631486,0.5773715105993663,0.5459529478392199
resid_fade,hr_mean,心率均值,0.8603517145855101,2.6923983312527007,0.9291558295198088,0.9758493102370164
resid_fade,hr_std,心率波动,0.1393140972458614,0.8543290364371093,0.3967318260086039,0.531192623664232
resid_fade,eye_pupil_filtered_mean,瞳孔直径,0.8302379519178835,0.07541229241567142,0.915911693008108,0.9019905592115153
resid_fade,eye_aoi_coverage_ratio,AOI覆盖,0.09733393951569647,0.06585363416408571,0.3500681739911632,0.43795552780344493
resid_fade,log_action_density_win,操作密度,-0.09176805652634412,0.08109147507765486,0.16513645263639698,0.5081826295338471
resid_fade,log_action_count_win,操作次数,-0.08774269070739149,2.4494427829872634,0.16957576935838234,0.5105066563094802
resid_fade,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.12977014793749786,0.6796283600021344,0.43496843386485157,0.6139825971208063
resid_fade,blink_rate_per_min,眨眼频率,0.32183823344172524,6.1509207707466675,0.5857669920951175,0.5882433737079176
smooth_fade,hr_mean,心率均值,0.8503846823465339,2.793637564464985,0.9229702321459811,0.947409962191676
smooth_fade,hr_std,心率波动,0.13973462109089363,0.8598755283256583,0.3878643644919686,0.49128636342092186
smooth_fade,eye_pupil_filtered_mean,瞳孔直径,0.8140063053671269,0.08002143481881885,0.9080384066895492,0.8658260013989187
smooth_fade,eye_aoi_coverage_ratio,AOI覆盖,0.08237654916188952,0.06728530773410982,0.3252027374640877,0.39867905616528004
smooth_fade,log_action_density_win,操作密度,-0.08907798785778609,0.08312266082675708,0.10052633032606641,0.41412268406232444
smooth_fade,log_action_count_win,操作次数,-0.07826868272177756,2.4898946653308323,0.11467736289310444,0.41616696295507677
