version,model,ratio,nasa_r2,nasa_mae,s_r2,s_mae,oracle_nasa_r2,early_nasa_r2,n,mod_r2_眼动,mod_r2_脑电,mod_r2_心率,mod_r2_行为
v2_direct_full,ridge_residual,,0.1972718154819254,1.1243002027030886,0.9627270180898722,0.03372900608109265,0.5279207150231725,0.12862639001047393,82,-0.10422046841269793,-0.3155605677236514,-1.8087910132769434,-1.0635167368751572
v2_direct_full,xgb_means,,0.21889357898763218,1.1202228001462735,0.9637309788521282,0.0336066840043882,0.5279207150231725,0.12862639001047393,82,-0.2589102079559482,-0.36906909733168725,-2.6588484474233702,-2.617298108654779
v3_tile_late_mean,persist_lastwin_tile,,-0.14755722698474827,1.3787889278031946,0.9467156123490068,0.04136366783409585,0.5279207150231725,0.12862639001047393,82,0.18602526807012718,-0.04553097100772791,-1.366522953335468,-13.674901985447478
v3_tile_late_mean,dummy_mean,,-0.29349040509004043,1.453329418732868,0.9399395145209835,0.04359988256198604,0.5279207150231725,0.12862639001047393,82,-0.24934116704465786,0.05246464961480189,-1.6647120112765745,-0.6150198118657871
v3_tile_late_mean,ridge,,-0.26355953549402167,1.3972148784777012,0.9413292910138527,0.04191644635433105,0.5279207150231725,0.12862639001047393,82,-0.7438169495866853,-0.32906801451540435,-0.2332367782864838,-2.21624090125106
v3_tile_late_mean,ridge_scaled,,-0.2866092973191572,1.4458381338817319,0.9402590241761973,0.043375144016451955,0.5279207150231725,0.12862639001047393,82,-0.09988332348855562,-0.5622386328128833,-0.11215029484161274,-1.9213516804851647
v3_tile_late_mean,pls6,,-0.35421809113706315,1.4911360632113324,0.9371197531283603,0.04473408189633998,0.5279207150231725,0.12862639001047393,82,0.049404404766969154,0.18042541309427862,-2.448890829832752,-0.6847350727195625
v3_tile_late_mean,extra_trees,,-0.37552260206787436,1.5069284446840365,0.9361305233170201,0.0452078533405211,0.5279207150231725,0.12862639001047393,82,-0.08980530765961259,0.06076159338546294,-1.2523262920878635,-0.607142414239696
v3_tile_late_mean,knn5,,-0.26166216556539434,1.421044056977683,0.9414173913651179,0.04263132170933049,0.5279207150231725,0.12862639001047393,82,0.07277059478550363,0.12298179127067677,-1.0958743296909232,-0.45236368439267083
v3_tile_late_mean,dummy_mean_tile,,-0.29349040509004043,1.453329418732868,0.9399395145209835,0.04359988256198604,0.5279207150231725,0.12862639001047393,82,-0.24934116704465786,0.05246464961480189,-1.6647120112765745,-0.6150198118657871
v4_horizon_windows,dummy_mean,,-0.3582927018991051,1.4663255129403214,0.9369305572135369,0.043989765388209645,0.5279207150231725,0.12862639001047393,82,-0.41250624518455886,0.05603658166264242,-1.713843406823425,-0.30038088932252444
v4_horizon_windows,ridge_scaled,,-0.2997370049482222,1.4270030862916776,0.9396494668958916,0.042810092588750334,0.5279207150231725,0.12862639001047393,82,-0.2291322881529935,-0.9658689368418809,-0.268553683824182,-2.702005749491374
v4_horizon_windows,pls6,,-0.43617619598653024,1.5196330122831392,0.9333142022353434,0.045588990368494176,0.5279207150231725,0.12862639001047393,82,-0.07678768330203584,0.15358043888400857,-0.6756918900814448,-0.7690260180075638
v4_horizon_windows,extra_trees,,-0.4117491692818187,1.524865674003353,0.9344484194486452,0.045745970220100594,0.5279207150231725,0.12862639001047393,82,-0.2458209309382027,0.07633094095750022,-1.4587500503481843,-0.31626828902153564
v4_horizon_windows,knn5,,0.1750123420864409,1.112720271823852,0.961693446620475,0.03338160815471557,0.5279207150231725,0.12862639001047393,82,-0.1889122433237569,-0.031099491888844335,-2.7040466993421775,0.1911651251318774
v5_ar_rollout_hop1_overlap,ridge_scaled,,-0.33359067118710906,1.451460701081811,0.9380775436550612,0.04354382103245434,0.5279207150231725,0.12862639001047393,82,0.45298804116343794,0.40262204549844804,0.0035977516492025964,0.0765106539484827
v5_ar_rollout_hop1_overlap,extra_trees,,-0.3676879464035261,1.47717043171084,0.9364943089476749,0.04431511295132521,0.5279207150231725,0.12862639001047393,82,-0.21842992763066185,0.05868873334865155,-1.9274864657580668,-0.20187864613589981
v5_ar_rollout_hop6_30s,ridge_scaled,,-0.3343483895438357,1.4630033605467012,0.9380423606091087,0.04389010081640104,0.5279207150231725,0.12862639001047393,82,0.4213240047859986,0.34273768434404733,0.257674336457102,-0.046775810720040424
v5_ar_rollout_hop6_30s,extra_trees,,-0.35835520603101245,1.472024778815789,0.9369276549666459,0.04416074336447367,0.5279207150231725,0.12862639001047393,82,-0.19206435842942665,0.06215402648032047,-1.9143430186996517,-0.2099990982060124
v6_observe_ratio,r25_persist_early,0.25,-0.16548285343853175,1.3470537290340516,0.9458832738769988,0.04041161187102156,0.5279207150231725,-0.16548285343853175,82,-7.199344215738233,-3.867024829447792,-45.28023495541446,-12.243209529617166
v6_observe_ratio,r25_ridge_scaled,0.25,0.04231369733122292,1.209788550787825,0.9555318662987012,0.03629365652363476,0.5279207150231725,-0.16548285343853175,82,-0.27579268204434293,-0.7198213261831737,-0.8845520162678676,-0.28765783561001185
v6_observe_ratio,r25_extra_trees,0.25,0.07192852589373977,1.139560728344491,0.9569069680960113,0.03418682185033473,0.5279207150231725,-0.16548285343853175,82,0.057398879920947846,-0.0454212290755079,-0.15071391101523002,0.012791436388681155
v6_observe_ratio,r33_persist_early,0.33,-0.08701588154662354,1.2746217200426553,0.9495267214103945,0.038238651601279657,0.5279207150231725,-0.08701588154662354,82,-4.710227673353966,-1.988111400112956,-13.462234183673925,-8.579589557814439
v6_observe_ratio,r33_ridge_scaled,0.33,0.1389059792011471,1.1141686652734029,0.9600169241853346,0.03342505995820209,0.5279207150231725,-0.08701588154662354,82,-0.12840528786920968,-0.5484874091794053,-0.6761464027462721,-0.09196272091209871
v6_observe_ratio,r33_extra_trees,0.33,-0.02894755223609602,1.197549175828453,0.952223001209318,0.035926475274853605,0.5279207150231725,-0.08701588154662354,82,0.08440903544918932,-0.061163464757060367,-0.13144086500123092,0.005958734999485928
v6_observe_ratio,r50_persist_early,0.5,0.12862639001047393,1.1633249058956057,0.9595396132482861,0.03489974717686816,0.5279207150231725,0.12862639001047393,82,-0.24311883647053212,-0.35221201395248397,-2.7837233893835838,-2.679326432165375
v6_observe_ratio,r50_ridge_scaled,0.5,0.20617561553570152,1.1192434099631583,0.9631404471742576,0.03357730229889474,0.5279207150231725,0.12862639001047393,82,0.30935080103618096,0.008387996536083917,-0.053520386885083135,0.10851903368172773
v6_observe_ratio,r50_extra_trees,0.5,-0.21534184822281754,1.3306722235873463,0.943568177127571,0.0399201667076204,0.5279207150231725,0.12862639001047393,82,0.08141007536658948,-0.090704406726551,-0.18712186405963602,-0.005094833238319583
v6_observe_ratio,r67_persist_early,0.67,0.35602720856386594,1.0111946117587207,0.970098488294361,0.030335838352761626,0.5279207150231725,0.35602720856386594,82,0.593254647054021,0.46222940041089394,-0.8004725624681832,-0.49641987835890516
v6_observe_ratio,r67_ridge_scaled,0.67,0.27872567939944526,1.0623884596475743,0.9665091556239247,0.03187165378942722,0.5279207150231725,0.35602720856386594,82,0.369067482567658,0.17726048627936428,0.28194117018409104,0.27174768929544607
v6_observe_ratio,r67_extra_trees,0.67,-0.11446191952000029,1.2987137695638147,0.9482523228074595,0.03896141308691445,0.5279207150231725,0.35602720856386594,82,0.08094955634914545,-0.11143960004835815,-0.22815219189193794,-0.0024660956683283265
v6_observe_ratio,r75_persist_early,0.75,0.40047061010837415,0.9568939657715279,0.9721621234497498,0.028706818973145847,0.5279207150231725,0.40047061010837415,82,0.7302049918433406,0.6824267443241637,-0.006790362159708252,-0.09492825247610838
v6_observe_ratio,r75_ridge_scaled,0.75,0.3357068549514346,1.0514817348340664,0.9691549557422328,0.031544452045021994,0.5279207150231725,0.40047061010837415,82,0.4326960305124422,0.2838302611913239,0.2969306482922486,0.30337679878175033
