model,feature,label,r2,mae,pearson,dyn
pool_direct,hr_mean,心率均值,0.7474436228236035,3.7105475413173243,0.8666991393281442,0.8112690127515211
pool_direct,hr_std,心率波动,-0.1271217767855768,1.0156014720399613,0.09073351894931954,0.4562654028213169
pool_direct,eye_pupil_filtered_mean,瞳孔直径,0.7113135319577347,0.10843290256710364,0.8437882639292376,0.8191647036022404
pool_direct,eye_aoi_coverage_ratio,AOI覆盖,-0.04075201438625742,0.08112168506537722,0.07168864954742801,0.28407132829294207
pool_direct,log_action_density_win,操作密度,-0.16083018658169124,0.09942148497104765,0.04585960158882904,0.3474143353718214
pool_direct,log_action_count_win,操作次数,-0.08875558336916445,2.9179437599677147,0.12664319422242457,0.27821394586855025
pool_direct,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.075033170508094,0.727244321712472,0.31815513114166494,0.4445713914339872
pool_direct,blink_rate_per_min,眨眼频率,0.22697124632970167,7.404443274509197,0.48370679985851533,0.5569897010512633
pool_direct_anchor,hr_mean,心率均值,0.7514283176990003,3.624996606894273,0.9072983721696886,1.1310775221731373
pool_direct_anchor,hr_std,心率波动,-0.3182836520118515,1.0725634510862354,0.2701024354871846,0.8838908885972434
pool_direct_anchor,eye_pupil_filtered_mean,瞳孔直径,0.7339617047846652,0.09600640575537744,0.8634144106892836,0.9684671612136313
pool_direct_anchor,eye_aoi_coverage_ratio,AOI覆盖,-0.13550209014810166,0.079418484815017,0.3131082471184604,0.7824788501347665
pool_direct_anchor,log_action_density_win,操作密度,-1.4942831178020222,0.11213544756504981,0.04798889147161774,1.254466644554176
pool_direct_anchor,log_action_count_win,操作次数,-1.469741369297846,3.283203181843275,0.05470161533058417,1.2573639757919535
pool_direct_anchor,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.4251302689772223,0.8744254991842936,0.2787476231824662,0.9875289765006526
pool_direct_anchor,blink_rate_per_min,眨眼频率,0.15536477494315115,7.719567886456088,0.6138658665621962,1.0668487380014333
pool_resid,hr_mean,心率均值,0.8247357218580391,3.077989633824859,0.909348073611953,0.9525342371538862
pool_resid,hr_std,心率波动,0.02775997152537313,0.9199330787489605,0.2927820768168014,0.5334973689241317
pool_resid,eye_pupil_filtered_mean,瞳孔直径,0.811210323678279,0.08279412085559194,0.9014215637232745,0.9076135527020341
pool_resid,eye_aoi_coverage_ratio,AOI覆盖,0.07769567190739457,0.07388498663055751,0.3061008738046807,0.4303832800910166
pool_resid,log_action_density_win,操作密度,-0.1867716807534303,0.09461091597987642,0.14146490185371172,0.5623784686679599
pool_resid,log_action_count_win,操作次数,-0.15367096522975698,2.8371634643972015,0.15928651934685847,0.5165863832840177
pool_resid,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.09595129215723042,0.6954923590429175,0.3980348020250482,0.6410380005372275
pool_resid,blink_rate_per_min,眨眼频率,0.27481488129081366,6.926772743452999,0.5505097300051008,0.6887594963328545
pool_delta,hr_mean,心率均值,0.772398877457189,3.4676966366379274,0.8878250129939758,1.0096205951886017
pool_delta,hr_std,心率波动,-0.28474926075811213,1.0873249537664973,0.20005209645241592,0.76992178299189
pool_delta,eye_pupil_filtered_mean,瞳孔直径,0.6896413877762186,0.10373810847689684,0.8434266898746274,0.9878282401412367
pool_delta,eye_aoi_coverage_ratio,AOI覆盖,-0.19767696220308695,0.08392364895996599,0.2597664282616332,0.7696355100258911
pool_delta,log_action_density_win,操作密度,-1.4201390200454438,0.12193263643223508,0.048830425477369745,1.2336619777693723
pool_delta,log_action_count_win,操作次数,-1.337932170055336,3.460838856708458,0.046170657292275846,1.1894102311991683
pool_delta,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.4192180445914411,0.8862278875055231,0.27397115996257115,0.9759792114353502
pool_delta,blink_rate_per_min,眨眼频率,0.11737005218795737,7.9720499158028,0.5543250818868112,0.9894365220470583
pool_cycle,hr_mean,心率均值,0.746011086880698,3.6434000678305063,0.8767912032718767,1.0276238912918154
