method,sample_id,S_true,S_ridge,dS,hr_std_hat,hr_std_true,hr_dyn,jump,level_err,hr_pearson
encdec_wave,subject_23_task_5,0.5886666666666667,0.571225149432818,0.01744151723384868,0.07062495132542136,2.4517545691601854,0.028805881276099406,0.06804476142930582,2.2973495504778896,-0.1919921726938464
encdec_wave,subject_23_task_5_6,0.594,0.6069072410464287,0.012907241046428708,0.2705142864464722,1.1965872698850057,0.2260715043473211,0.9419733677122082,0.06083354239510186,0.020954782912524623
encdec_wave,subject_23_task_5_6_repeat_1,0.604,0.6286787688732147,0.02467876887321474,0.14778323114624525,1.444624246941953,0.10229873300001177,0.21071046096888324,2.0133573857732046,-0.2967187067208098
last_cycle,subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,0.647157385390493,3.136499679665857,0.2063310854207153,1.2857142857142918,5.223329907502574,-0.023031381762853246
last_cycle,subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,0.37019695096033467,6.115186301268871,0.06053731352030069,0.8333333333333286,4.694083694083687,-0.033021446603014405
last_cycle,subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,1.040738031121923,2.8251978575658097,0.3683770411516779,1.0,0.7424242424242493,0.31088651452016935
last_cycle,subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,0.7157993624202655,2.458081861197127,0.2912024090034313,0.1428571428571388,2.3194805194805213,0.01633404877616028
last_cycle,subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,1.8194121074310419,1.502969052316854,1.210545282034206,0.6666666666666572,2.5133333333333496,0.2014407397617051
last_cycle,subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,0.5998989896871506,3.9412186029731138,0.15221154891344846,1.4666666666666686,6.289467312348677,0.03633755712256281
last_cycle,subject_12_task_2,0.8049999999999999,0.7873994269967078,0.017600573003292097,0.5582801600438356,3.0221327056393075,0.18473052396235884,1.3666666666666742,5.351552795031068,-0.0017062028457351301
last_cycle,subject_12_task_3,0.522,0.5759279489517212,0.05392794895172115,3.169835372100292,2.2607164575608594,1.4021375159532068,6.5,3.7196825396825375,-0.49367490715015916
last_cycle,subject_12_task_5_6,0.49,0.5366591793298721,0.04665917932987207,0.22738476131882604,2.396035195041265,0.09490042585368022,0.5999999999999943,2.776839826839833,-0.057209422402629696
last_cycle,subject_16_task_3,0.86,0.885238316655159,0.025238316655158965,0.6790940886489794,1.9422934496813617,0.34963516211416706,0.0,3.1970588235294173,-0.07150833396187584
last_cycle,subject_16_task_5,0.42533333333333334,0.42307889362176254,0.0022544397115707993,0.5761610809668177,0.7576948653094615,0.7604130630176152,1.6666666666666714,0.5444444444444514,-0.48201390663803634
last_cycle,subject_16_task_5_6,0.4179999999999999,0.4223140433430671,0.004314043343067175,0.3076588504398468,1.6849667430457116,0.18259045757652426,0.1666666666666714,0.7152380952380923,0.09474386471299501
last_cycle,subject_16_task_5_6_repeat_1,0.4179999999999999,0.4007730290293693,0.01722697097063064,1.2128105044112183,2.8953237073827385,0.41888597711193154,3.5,3.387535014005593,0.026993988068888898
last_cycle,subject_23_task_3,0.6655,0.6363073736429214,0.029192626357078533,0.19307747554965174,1.6777217693969264,0.1150831311369489,0.1666666666666714,1.2748299319728034,-0.03771102625166362
last_cycle,subject_23_task_5,0.5886666666666667,0.571225149432818,0.01744151723384868,0.5636816956450458,2.4517545691601854,0.2299095106974888,1.2000000000000028,3.54421768707482,-0.07969304354529588
last_cycle,subject_23_task_5_6,0.594,0.6069072410464287,0.012907241046428708,0.9529604523902863,1.1965872698850057,0.796398614969288,0.3333333333333286,0.6013071895424815,0.567445959110564
last_cycle,subject_23_task_5_6_repeat_1,0.604,0.6286787688732147,0.02467876887321474,0.8497665412354014,1.444624246941953,0.5882266874254392,1.6666666666666714,2.975357142857135,0.06846558961424665
mean_revert,subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,0.5314802976148364,3.136499679665857,0.16945013556543886,0.3266221308667383,0.8868158814835851,0.18232159783677773
mean_revert,subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,0.44979728078079173,6.115186301268871,0.07355414175229945,0.18485119047619492,4.139326700695932,0.82012391937469
mean_revert,subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,0.05831485556522108,2.8251978575658097,0.020640981021079828,0.027179487179481043,1.0554744007273769,-0.2501733297739126
mean_revert,subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,0.25000686674175115,2.458081861197127,0.10170811219562578,0.13402116402116349,2.553827549571025,-0.2849964562659252
mean_revert,subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,0.5880849374187532,1.502969052316854,0.39128213092570896,0.24542735042734876,2.7156091934124618,0.17345297974099816
mean_revert,subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,0.402814266381121,3.9412186029731138,0.10220551203508409,0.18182405165455862,6.866415412211012,-0.8864377629863769
