sample_id,subject,task,task_difficulty,y_nasa,weighted_step_score,n_windows,y_nasa_true,y_nasa_hat,S_true,S_hat,S_hat_minus_S_true
subject_16_task_5_6,16,5_6,高,6.066666666666666,0.4285714285714285,50,6.066666666666666,5.401278734207153,0.4179999999999999,0.43796163797378534,0.019961637973785418
subject_16_task_5_6_repeat_1,16,5_6,高,6.066666666666666,0.4285714285714285,136,6.066666666666666,5.583343982696533,0.4179999999999999,0.4324996805191039,0.014499680519103997
subject_17_task_4,17,4,中,4.266666666666667,1.0,162,4.266666666666667,4.839476108551025,0.872,0.8548157167434692,-0.017184283256530763
subject_17_task_5,17,5,低,2.2666666666666666,0.3333333333333333,45,2.2666666666666666,4.7288126945495605,0.4653333333333334,0.39146895249684655,-0.07386438083648683
subject_17_task_5_6,17,5_6,高,6.4,1.0,92,6.4,5.084291219711304,0.8079999999999999,0.8474712634086609,0.03947126340866092
subject_18_task_3,18,3,低,3.1333333333333333,1.0,42,3.1333333333333333,4.105575799942017,0.9059999999999999,0.8768327260017394,-0.029167273998260468
subject_18_task_5,18,5,低,3.8666666666666663,1.0,62,3.8666666666666663,5.609273433685303,0.884,0.8317217969894409,-0.05227820301055908
subject_18_task_5_6,18,5_6,高,6.6,0.8571428571428571,164,6.6,5.72588586807251,0.702,0.7282234239578247,0.026223423957824732
subject_19_task_3,19,3,低,2.8666666666666667,0.875,53,2.8666666666666667,4.694186687469482,0.8265,0.7716743993759154,-0.05482560062408459
subject_19_task_5,19,5,低,3.8666666666666663,0.6666666666666666,24,3.8666666666666663,5.8115246295928955,0.6506666666666667,0.5923209277788798,-0.058345738887786935
subject_19_task_5_6,19,5_6,高,5.733333333333333,0.8571428571428571,160,5.733333333333333,5.774751901626587,0.728,0.7267574429512024,-0.00124255704879761
subject_19_task_5_repeat_1,19,5,低,3.8666666666666663,0.6666666666666666,40,3.8666666666666663,5.637252330780029,0.6506666666666667,0.5975490967432657,-0.053117569923401
subject_20_task_3,20,3,低,1.6,0.875,35,1.6,4.033532619476318,0.8644999999999999,0.7914940214157105,-0.07300597858428948
subject_20_task_4,20,4,中,5.666666666666667,0.1666666666666666,298,5.666666666666667,5.723326921463013,0.24666666666666665,0.24496685902277626,-0.001699807643890383
subject_20_task_5_6_repeat_1,20,5_6,高,7.4,0.2857142857142857,94,7.4,5.797304391860962,0.278,0.32608086824417115,0.04808086824417113
